,en_text,fa_text,bart_translation
880,maybe.,????,????...
881,i don't know.,????????,??? ????
882,"no, no!","??? ??","??? ??"
883,"and we heard thunder, and she shot up out of the tub",? ???? ??? ? ??? ?????? …? ??? ?? ??? ??? ???? ?????,"? ???? ???? ?? ??????? ? ?? ?? ??? ??? ????? ????? ???"
884,sully won me with a pair of sixes.,???? ??? ?? ?? ??? ? ???,???? ?? ??? ?? ???? ??? ???
885,what's that blocking it?,??? ??? ?? ???? ?? ??????,??? ?? ????? ?? ????
886,we don't get to choose who riley is.,?? ????????? ???? ????? ?? ????? ????,?? ??? ????? ?????? ???? ???
887,checking in on your baby.,?? ??? ?? ????,??? ?? ?? ????? ?? ???
888,okay. okay. [ sobbing ],. ????. ????,"????? ???? ????? ???..."
889,okay. shh.,. ???? ??. ??,"??? ????"
890,i stopped by your mom's in sapulpa to check in.,???? ?????? ??? ?????? ?? ???? ?? ?????,?? ?? ???? ????? ??????? ?? ????? ??? ?? ?????? ???
891,and i've never been able to get it to change.,? ?? ???? ????? ?? ?????? ???,? ?? ???? ???????? ??? ?? ????? ???
892,it's how val made the team as a freshman.,??? ?? ???? ???? ?????? ?? ????? ?? ??? ???? ?? ??? ??? ???? ???,?? ??? ???? ??? ??? ?? ?? ???? ??? ????
893,they would read your article and-- and... change their minds.,???? ???? ????? ?? ???? ? …? ?????? ?? ??? ???,????? ??? ?? ?????? ????? ?... ?... ???????? ?? ????? ?????? ???
894,absolutely nothing. mm-hmm.,?????? ????,????? ????
895,you will go to earth,…?? ?? ???? ???? ?,?? ?? ???? ?? ???
896,you got it?,??????,????? ?????
897,doesn't this sound like that guy?,???? ??? ???? ?????,??? ??? ???? ??? ??? ?????
898,"no, i was on the phone with her from the bar.",??. ?? ??? ????? ??? ???? ????,"??? ?? ?? ?? ?? ??? ???? ????"
899,yeah.,???,???
900,and all those beliefs come together,? ??? ?????? ????????,? ??? ??? ???????? ?? ?????? ?? ????
901,i drink wine with on occasion.,?? ?? ???? ????? ???? ???????,???? ????? ???? ?? ????
902,do you know quid pro quo?,???????? «?? ??» ???? ???,??? ???? ?? ?? ??????
903,it's okay. i drop things all the time.,. ?????? ????? ???? ???? ?? ?? ???? ??? ????,"????? ????? ?? ????? ????? ?? ?? ??????"
904,"go for joy. copy that. over. oh, i love 'em!",". ???? ?? ????. ?????? ??? ???? ??? ??????","???? ??? ???? ????? ??? ????? ???? ??????? ????"
905,remember that?,??????,????????
906,"all right, here. hey, ben, can you get me some water?","???????? ??? - ?? ??? ????? ??????? ?? ??? ???? -","???? ??? ?????? ??? ??? ?? ???? ?? ????? ?? ?? ?? ????"
907,"is this sort of what you do, mr. audrey?",??? ????? ???? ?????,"???? ????? ??? ??? ????? ?? ?? ????"
908,"moonwind, how are ya?",??? ???? «(= ??? ???) ???? ??????»,"??? ???? ??????"
909,no. okay.,??. ???????,"??? ????"
910,before y'all are done making a difference?,??? ??? ???? ????? ??????,"??? ?? ????? ??? ?????? ???? ???? ???? ?????? ????? ?????"
911,shit.,??,?????
912,one night there was a poker game.,?? ?? ?? ???? ???? ???,?? ?? ???? ???? ???
913,"well, that butterfly began as a caterpillar.","?? ??? ??????? ?? ????? ??? ?????? ????","???? ??? ?????? ??? ??? ?????? ???? ???"
914,while riley takes a breather.,?? ????? ??? ?????,?? ???? ?? ???? ??? ?? ???
915,why are you here? - listen.,??? ???????? - ??? ?? -,??? ??? ????? ??????
916,"all right, let's move, fellas.","???????? ????? ???? ????","????? ???? ?????? ???? ????? ????"
917,"bring it in, team.",????? ????? ??????,"???? ?? ?? ???? ??"
918,"no, don't look at that stuff. let's look over here.","??? ???? ?? ????? ??? ????? ?? ????","??? ??? ????? ?? ???? ??? ?????? ????? ????? ?? ??????"
919,we build her a new sense of self.,???? ?? ???? ???? ??????,?? ?? ???? ?????? ?? ?? ?? ?? ????
920,you're always in danger of losing due to budget cuts?,??? ? ?? ??? ?? ??? ???? ????? ????? ?????? ???? ?????,??? ????? ?? ??? ?? ??? ???? ????? ???? ????? ??????
921,"oh, thanks, guys.",????? ??????,"???? ??????? ??? ??"
922,why? what about sully?,???? ???? ?? ???,???? ???? ?????
923,go!,! ???,???
924,okay.,????,????? ???
925,you ready? let's go!,?????????? -! ??? ???? -,??????? ????
926,"i mean, if you",…????,?????? ??? ??? ?? ??? ???
927,we're professionals. - mm-hmm.,?? ????????,?? ???? ?? ?????
928,and stay away!,! ? ??? ????,? ??? ???????
929,i'm ready to reach her.,????? ?? ????? ?????? ?????? ???,?? ????? ?? ?? ?? ????
930,you decide.,?????? ?? ?????,??? ????? ?? ?????
931,i'll be right back. practise your scales.,???? ?? ??????? ??? ????? ????? ????? ????,"?? ???? ???? ???? ????? ????? ??? ?? ????? ??"
932,"if you're too much of a pussy, just gimme the gun.",??? ?????? ?????? ????? ?? ??? ?? ????,"??? ???? ???????? ????? ??? ????? ?? ???? ??"
933,got my head stomped on by one too many bulls.,????? ??? ???? ??? ?? ??? ????,??? ?? ?? ??? ?? ?????? ?? ??? ?? ?? ?? ????
934,you're stoned.,?? ??????,?? ??? ??? ??
935,let's go.,????,????
936,we need to evacuate this arena right now!,! ???? ???? ???? ??? ?????? ?? ????? ????,?? ???? ???? ???? ??? ????? ?? ???? ????
937,i did it. i did it! i'm back.,"! ???????? ???????! ?? ??????","?? ?????? ????? ?? ?????? ????? ?? ??????"
938,i don't know nothing about no makeup.,??? ??????? ??? ?????? ???,??? ???? ??????? ?????? ? ????? ???? ???????
939,you all right?,?????,?????? ?????
940,can't trust a thing she says.,?????? ?? ?? ???? ?? ??????? ?????? ???,???? ?? ?? ?? ???? ???? ??? ???
941,i'm thinking there's no reason,????? ?????? ????? ????? ??,??? ?? ??? ??? ????? ???? ?????
942,dorothy can't tell you that. lagrangian mechanics.,?????? ??? ?? ???????? ????? ??? ?????? ????????,"?????? ??? ????? ??? ?? ?? ??? ?????? ?????? ????????"
943,"all right, how are we getting to this thing?","???????? ???? ???????? ???? ??????","????? ???? ?? ???? ?? ??? ???? ????? ????"
944,you need to settle down. if you keep this...,???? ????? …??? ???,"????? ?? ?? ?? ???? ????? ??? ???? ??? ????..."
945,"but i feel, i feel fine.",??? ?? ?????? ????,??? ????? ?? ??? ?? ???? ????
946,no way.,???????,??? ????? ????
947,"oh, no. honey.","??? ??? ?????","???? ??? ?????"
948,yeah! - yeah!,! ??? -! ??? -,??? ???
949,then get back to the club.,…??? ?????? ??,??? ?? ?????? ?????
950,she doesn't need to know. -objection.,???? ???? ????? - ?????? ???? -,???? ???? ?????
951,i'm nice. i'm mean.,. ?? ??????? ?? ?? ????,"?? ????? ?????????"
952,"i know, somebody raises you,",??????. ???? ??? ????? ???,"?? ????? ??? ??? ?? ???? ?? ????"
953,i'm not gay.,. ?? ??? ?????,?? ???????? ?????
954,you know what i'm saying? i'm...,??????? ?? ????? …??,?? ???? ?? ????? ??...
955,"waiting on you, lion.",????? ?? ????? ???,"???? ????? ?? ????"
956,"nostalgia, you aren't supposed to be here yet.","????????? ?? ???? ???? ????","???????? ?? ???? ????? ????? ????"
957,"okay. oh, shit. can anyone see me, do you think?","????? ???? ?????? ??? ?????? ??? ??? ????? ???????","????? ???? ???? ?????? ??? ?? ???? ??? ?? ????? ??? ??????"
958,"or somebody else's thing, you know?",?? ??? ??? ???? ??? ????????,"?? ?? ??? ????? ?? ?????"
959,"oh, no...",??? ??,"???? ??..."
960,"i'm fucking bleeding, man.",???? ??????? ?????? ???,"?? ???? ??????? ?? ???? ???"
961,"it's all happening too fast, you know.",???? ??? ???? ????? ????? ??????,"??? ??? ???? ???? ????? ?? ????? ?? ?????"
962,"we could become a fire hawk, like, tomorrow.",???????? ???? ???? ??? ??? ????????? ????? ?????,?? ?? ????? ????? ??? ?? ????????? ????
963,"yeah. guys, i-- i really-- i wanna talk about this.","??? ?????? ?? ????? ?????? ?? ?? ??????? ??? ???? …???. ??? ??,?? …?? ?????. ?????? ?????? ??? ????","???? ??? ??? ?? ????? ?????? ?? ??? ???? ??? ????"
964,jeb!,! ??,???
965,robert edward audrey.,????? ?????? ????,????? ?????? ????
966,"oh, and you didn't happen to see the directions...",.. ? ?? ??? ?? ?????,"???? ? ????? ????? ????? ?? ??? ?? ?? ?????..."
967,"the password is ""outofmyhouse""-- one word.",",??????? ??? «outofmyhouse». ??????",???? ???? ??? ??? ?? ?? ???? ???? ??? ?? ????
968,and stumble once in a while.,?? ??? ?? ?? ????. ?????? ?? ???? ?????? ???,? ?????? ?? ??? ?? ?? ???????
969,"leave it, leave it! come on, come on!","! ??? ??? ??? ??! ??????? ??????","???? ??? ???? ??? ???? ???? ???"
970,"but while we have her, ooh!",…??? ?? ????????,"??? ?? ???? ?? ?? ?? ?????? ????"
971,with your dick.,.. ?? ????,?? ??????
972,we get right in front of that thing and set up our radar.,?????? ???? ?????? ? ???????? ?? ??? ????????,?? ???? ???? ?? ??? ???? ?? ????? ? ???????? ?? ?? ??????
973,joy from headquarters?,???? ???? ?????????,??? ?? ??? ??????
974,what's gonna happen?,?? ?????? ?????? ??????,?? ?????? ?? ?????
975,yeah?,????,????
976,one mississi...,…?? ? ??,?? ???????...
977,"now, stay your ass there.",???? ?????? ????,"????? ???? ?? ????? ????"
978,she's the only one that can fix this.,??? ???? ???? ?? ?????? ????? ???,?? ???? ??? ??? ?? ?? ????? ??? ?? ???? ???
979,"let's go, guys! let's go!",! ???? ??????! ????,"???? ??? ??? ????"
980,"he also told me about that, uh.",???? ??? ?? ???? ???? ???,"?? ??? ?? ??? ???? ?? ?? ???? ??"
981,"what do you mean, she was there with it?",?????? ??? ?? ??? ????? ????,"?????? ???? ??? ?? ???? ????? ????"
982,"hey. we got to go, t.","??? ???? ???? ??","??? ???? ????? ??"
983,"we'd go up to my mom's friend's, up in vermont.",?? ?? ???? ???? ?????? ??? ?????? ?????,"?? ???? ???? ????? ?? ?????? ?? ??????"
984,her purpose. was it music? biology? walking?,"???????? ?????? ???? ????? ??? ?????",???? ?????? ???? ???? ?????? ??? ?????
985,"hey, terry, what's that over there?",?????? ????? ????,"??? ???? ??? ??? ????"
986,we're gonna have so much fun! -all right.,????? ??? ????? ??? ????? - ??????? -,?? ??????? ??? ??? ????? ????
987,it's way better than here.,?? ?????? ???? ?? ???????,???? ???? ?? ????? ???
988,i'm from all over.,??????? ???? ???,?? ??? ??? ?? ????
989,what the fuck is this? - are you crazy?,??? ???? - ?????????? -,??? ???? ?????? ???
990,"ready for a little q&a, huh?",????? ??????? ?????,"???? ?? ?????? ? ?????? ???????"
991,i'm sorry for what happened.,???? ?????? ?? ????? ??????,?????? ?? ?? ?????? ??????
992,"i- i just adopted him, so it's in the process.",?? ???????????? ?????? ???? ???? ???? ?????,"??... ?? ?? ?? ?? ????? ?????? ??? ???????? ??? ??? ?? ????? ???"
993,we'd have addy do it 'cause she was...,…???????? ??? ??? ???? ????? ??? ???,?? ???? ??? ??? ?? ????? ??? ??...
994,"i said, ""hands where i can see 'em.""",???? ?????? ???? ????,"????? « ??? ???? ?? ????? ?????»"
995,she looked like a swiss army knife. - you guys could come visit!,???? ?? ????? ????? ?????? ?????- ????? ??????? ????? ??????-,?? ??? ????? ???? ???? ?? ??? ?? ????
996,inside of a tornado to see if we can make it collapse.,???? ?????? ????????? ?? ?????? ???????? ???? ??????? ????? ?? ??,?? ???? ?? ?????? ?? ?????? ?? ??? ?? ?????? ?? ?? ?? ??? ?????
997,i offered you the tape.,…? ??? ????? ????,?? ???? ?? ?? ??? ??????? ????
998,can you do this?,?????? ??????? ????,?????? ??? ???? ????
999,i'm not your teacher anymore.,?? ???? ????? ?????,?? ???? ????? ??? ?????
